date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2023-05-05,Fengler,2023-07-27,2023-12-28,61,10,0,0,16,0,0
2023-05-23,Fengler,2023-06-01,2023-06-08,61,14,1,0,42,1,0
2023-05-23,Fengler,2023-06-08,2023-06-15,61,12,4,0,39,1,0
2023-05-23,Fengler,2023-06-15,2023-06-29,61,12,22,0,39,22,0
2023-05-23,Fengler,2023-06-29,2023-07-27,61,13,23,0,33,0,0
2023-05-23,Fengler,2023-07-27,2023-12-28,61,13,4,0,37,3,0
2023-06-08,Fengler,2023-06-15,2023-06-22,61,15,10,0,26,4,0
2023-06-08,Fengler,2023-06-22,2023-06-29,61,15,0,0,26,0,0
2023-06-08,Fengler,2023-06-29,2023-07-06,61,8,31,0,31,1,0
2023-06-08,Fengler,2023-07-06,2023-07-27,61,7,21,0,11,1,0
2023-06-08,Fengler,2023-07-27,2023-08-31,61,14,7,0,19,1,0
2023-06-08,Fengler,2023-08-31,2023-12-28,61,15,0,0,19,0,0
2023-06-26,Fengler,2023-07-06,2023-07-13,61,13,28,0,17,2,0
2023-06-26,Fengler,2023-07-13,2023-07-20,61,13,0,0,34,0,0
2023-06-26,Fengler,2023-07-20,2023-07-27,61,14,0,0,36,0,0
2023-06-26,Fengler,2023-07-27,2023-08-31,61,16,29,0,21,1,0
